type,description,amount,date,priority
income,Student Salary,9000,2025-11-01,3
expense,Transport (Car Gas) #1,-1000,2025-11-01,4
expense,Groceries #1,-700,2025-11-03,2
expense,Internet Bill,-389,2025-11-03,5
expense,House System Alarm,-260,2025-11-05,3
expense,Netflix Subscription,-150,2025-11-09,5
expense,Groceries #2,-700,2025-11-10,2
expense,Gym Membership,-600,2025-11-11,4
expense,Water Bill,-120,2025-11-14,1
expense,Transport (Car Gas) #2,-1000,2025-11-15,4
income,Freelance Job,2000,2025-11-16,2
expense,Groceries #3,-700,2025-11-17,3
expense,Electric Bill,-650,2025-11-19,5
expense,Groceries #4,-700,2025-11-24,2
expense,Apple Music,-120,2025-11-27,4
expense,Apple Theft and Loss Coverage,-100,2025-11-29,1
